Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,cad_ig_er_index,us_hy_er_index,us_ig_er_index,spx_1bf_eps,spx_1bf_sales,tsx_1bf_eps,tsx_1bf_sales
2003-11-30,79.693865,416.878787,97.762203,7859.39,16.32,422.961,0.5082,-0.17077,6.3,0.4669,0.06,1.0,102.19205428584523,107.8957129224414,102.90703339536421,61.7058,678.2487,562.8038,6070.9267
2003-12-01,77.708959,408.256215,96.417391,7924.57,16.77,423.51,0.54558,-0.14584,6.3,0.4669,0.06,1.0,102.19251536034298,108.29307732465703,102.96760851778244,61.7548,678.8843,561.5209,6060.0696
2003-12-02,72.00824,406.167585,96.007426,7927.6,16.27,424.467,0.55356,-0.14511,6.3,0.4867,0.06,1.0,102.18706317962999,108.43754556659533,103.0165417445418,61.7512,679.2998,562.3258,6069.3294
2003-12-03,74.852232,395.833459,95.27059,7959.88,16.63,428.964,0.55758,-0.15041,6.3,0.4867,0.06,1.0,102.29255843719724,108.82930947680744,103.03277835517919,61.7738,682.4566,562.7317,6093.7701
2003-12-04,75.0055,396.013921,95.470433,7993.34,16.3,426.817,0.55321,-0.14966,6.3,0.4797,0.06,1.0,102.30155090327699,108.93174758267389,103.05148694198549,61.7777,682.951,563.7137,6111.2659
2003-12-05,66.455945,409.127001,96.816591,7990.28,17.09,417.689,0.53935,-0.14891,6.3,0.4083,0.12,1.0,102.2970047289075,108.51878348210928,103.0512781799886,61.8243,684.5519,563.2881,6104.8705
2003-12-08,71.188723,400.210849,97.487098,7990.77,16.54,419.886,0.53665,-0.14817,6.3,0.4083,0.12,1.0,102.39457697108999,108.8951358510811,102.98057322310395,61.8768,684.771,564.0781,6111.3395
2003-12-09,76.628956,391.074532,96.629345,7975.94,17.63,426.181,0.54534,-0.14743,6.3,0.3745,0.12,1.0,102.40390036153573,109.27188967969025,102.97758519508291,61.8966,684.8298,563.0322,6126.8381
2003-12-10,67.905224,394.8719,97.321516,7887.12,17.87,425.313,0.54261,-0.14669,6.3,0.3745,0.12,1.0,102.35818840673474,109.19808180225934,102.96319915224045,61.8496,684.8629,561.5748,6128.5895
2003-12-11,67.66342,406.3082,98.820067,7956.18,16.73,421.314,0.56148,-0.13406,6.3,0.3707,0.12,1.0,102.35252939829299,108.83000401065088,102.89883119503739,61.9051,684.3664,562.6231,6109.7603
2003-12-12,66.262961,404.251163,98.293708,7979.2,16.41,419.678,0.53646,-0.13339,6.3,0.3707,0.13,1.0,102.59814892871474,108.9219027171826,102.9245518436835,61.9715,684.7249,564.3069,6112.4724
2003-12-15,67.004365,401.128752,97.376894,7932.11,17.23,420.186,0.54616,-0.13272,6.3,0.353,0.13,1.0,102.67471554498223,109.06839126355939,102.97112430393585,62.0457,684.9503,564.4554,6124.7729
2003-12-16,66.488481,406.06406,97.808814,7987.25,15.93,417.07,0.57693,-0.36619,6.3,0.4308,0.13,1.0,102.65689304825848,108.90665852304815,102.95243717864325,62.0651,685.379,564.5796,6136.3833
2003-12-17,64.630304,402.513338,97.476394,8040.17,15.58,413.028,0.57404,-0.36436,6.3,0.4308,0.13,1.0,102.65577416069173,108.98554577532914,103.0161866540424,62.1107,686.5074,566.3894,6155.616
2003-12-18,64.40403,403.187352,96.739233,8124.66,16.16,406.595,0.58473,-0.36254,6.3,0.4407,0.13,1.0,102.68522642926574,108.9729704640538,103.09490065763055,62.2211,686.8522,571.4045,6158.6921
2003-12-19,69.327974,402.622473,96.420352,8113.82,16.42,408.935,0.5818,-0.36073,6.3,0.4407,0.08,1.0,102.76294220057248,109.06443823011084,103.127294861514,62.2854,687.0258,569.5113,6171.8457
2003-12-22,66.601786,398.320782,96.451921,8135.43,16.94,410.197,0.5789,-0.35892,6.3,0.4407,0.08,1.0,102.75320616358499,109.2444369505798,103.1286098669898,62.4304,688.2255,567.0239,6140.6564
2003-12-23,69.918229,386.422271,95.251299,8138.43,16.49,416.949,0.61335,-0.39334,6.3,0.4261,0.08,1.0,102.77618220195974,109.69433620486404,103.16130843415844,62.4714,688.2718,568.9635,6137.3672
2003-12-24,61.936804,394.916822,95.802173,8136.78,16.66,409.773,0.52324,-0.39137,6.3,0.3409,0.08,1.0,102.68577023485499,109.40851515182328,103.16216494365976,62.5097,688.3883,569.0685,6144.3773
2003-12-25,61.936804,394.916822,95.802173,8136.78,16.66,409.773,0.52062,-0.38941,6.3,0.3409,0.08,1.0,102.68577023485499,109.40851515182328,103.16216494365976,62.526,688.4963,569.2374,6144.4824
2003-12-26,66.142013,399.150859,96.032625,8136.78,17.45,410.376,0.51802,-0.38747,6.3,0.3409,0.0,1.0,102.75684633161097,109.2832718841384,103.1789312634762,62.5422,688.6312,569.4063,6144.3586
2003-12-29,67.051146,391.771092,95.847348,8260.54,17.09,417.59,0.51543,-0.38553,6.3,0.3409,0.0,1.0,102.79320059283074,109.56283432883704,103.15621815331815,62.6026,689.0843,567.1577,6115.1694
2003-12-30,67.364027,387.756756,95.007935,8213.75,17.68,415.791,0.50179,-0.3836,6.3,0.3409,0.0,1.0,102.82510049101424,109.81355844507215,103.21374476526766,62.6319,689.2486,566.7007,6109.1607
2003-12-31,66.942184,392.80869,95.112762,8220.89,18.31,414.849,0.501,-0.38168,7.3,0.349,0.0,1.0,102.80986182752625,109.61529287756204,103.20628981582695,62.669,689.3557,565.8579,6113.5497
2004-01-01,66.942184,392.80869,95.112762,8220.89,18.31,414.849,0.49849,-0.37977,7.3,0.349,0.0,1.0,102.80986182752625,109.61529287756204,103.20628981582695,62.7111,689.3487,565.8579,6113.5497
2004-01-02,72.793447,380.452564,93.932615,8293.7,18.22,419.626,0.53837,-0.36283,7.3,0.349,0.0,1.0,102.90408809398978,110.25065928812703,103.2301892963596,62.7821,689.3084,565.8579,6113.5497
2004-01-05,64.177687,371.135447,93.06104,8381.66,17.49,426.311,0.54706,-0.36102,7.3,0.3967,0.0,1.0,102.87020916022178,110.7702017956259,103.30909256904958,62.9013,689.4521,565.8579,6113.5497
2004-01-06,60.005376,372.779254,93.109745,8405.1,16.73,422.164,0.56843,-0.35921,7.3,0.4217,0.0,1.0,102.81697626996471,110.77063806449155,103.32509367222264,62.9811,689.6121,565.8579,6113.5497
2004-01-07,64.533334,366.019232,93.296653,8388.53,15.5,418.062,0.56559,-0.35741,7.3,0.4217,0.0,1.0,102.86188567380822,111.05206546357832,103.30568469735988,63.0395,689.1282,565.8579,6113.5497
2004-01-08,66.991459,360.030391,92.720962,8386.42,15.61,421.826,0.56327,-0.35563,7.3,0.401,0.0,1.0,102.91995165566979,111.3450046607231,103.35288299781845,63.1971,688.7337,565.8579,6113.5497
2004-01-09,54.748809,374.012806,93.682142,8352.19,16.75,409.959,0.54996,-0.35385,7.3,0.393,0.02,1.0,102.79583650617573,110.73199976990513,103.31808596514416,63.3143,687.7695,565.8579,6113.5497
