Trade_ID,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Holding_Weeks,Holding_Days,Trade_Return_%,Cumulative_Return_%,Winning_Trade
1,2005-05-06,2005-05-13,103.87464087717731,103.68146331241556,1,7,-0.18597182443226906,-0.1859718244322739,No
2,2005-05-27,2005-06-17,103.84142900080673,104.0924259898882,3,21,0.24171180182769023,0.24171180182770424,Yes
3,2005-06-24,2005-07-22,104.1704790952096,104.48954380412916,4,28,0.30629091052555946,0.306290910525564,Yes
4,2005-07-29,2005-09-02,104.54415115367226,104.80103919804615,5,35,0.24572206243875677,0.24572206243873573,Yes
5,2005-12-16,2006-01-13,104.5183631084904,104.57656351348584,4,28,0.055684382403712054,0.05568438240373119,Yes
6,2006-01-27,2006-02-17,104.53647359828427,104.56774642996828,3,21,0.02991571325065225,0.029915713250661113,Yes
7,2006-03-24,2006-05-19,104.48681371767088,104.63645213116855,8,56,0.14321272529373955,0.14321272529371765,Yes
8,2006-07-14,2006-07-21,104.47588751918003,104.47483139318943,1,7,-0.001010880132898937,-0.0010108801329011818,No
9,2006-07-28,2006-09-08,104.48363279166752,104.68374147948424,6,42,0.1915215641628048,0.19152156416279986,Yes
10,2006-09-15,2006-10-13,104.68686384800694,104.93068987781866,4,28,0.2329098617050324,0.23290986170503292,Yes
11,2006-10-20,2006-12-01,104.99261964197036,105.20061267629112,6,42,0.19810252856821414,0.19810252856822252,Yes
12,2006-12-08,2006-12-15,105.21433604015311,105.20708432357412,1,7,-0.006892327464029554,-0.00689232746402535,No
13,2006-12-22,2007-02-16,105.25018262934492,105.62009084119684,8,56,0.3514561235058484,0.35145612350584443,Yes
14,2007-02-23,2007-03-02,105.67108711839346,105.6065261536041,1,7,-0.06109614895608216,-0.06109614895608573,No
15,2007-05-18,2007-05-25,104.87913359879222,104.84716051948462,1,7,-0.030485644008002116,-0.030485644008004797,No
16,2007-06-01,2007-06-08,104.92929925600356,104.8937426146808,1,7,-0.0338862849317294,-0.03388628493172785,No
17,2007-09-28,2007-10-19,102.6569387900202,102.93942748854596,3,21,0.2751774033546534,0.2751774033546539,Yes
18,2007-12-07,2007-12-21,101.27912762395228,101.45237242403051,2,14,0.17105676573508022,0.1710567657350781,Yes
19,2008-01-04,2008-01-11,101.37259216136516,100.74944163949434,1,7,-0.6147130191550135,-0.614713019155011,No
20,2008-02-01,2008-02-08,100.70090927905258,100.60229397114357,1,7,-0.09792891505650782,-0.09792891505651102,No
21,2008-04-25,2008-06-06,99.17467356406756,99.92989052191916,6,42,0.7615018337960304,0.7615018337960411,Yes
22,2008-06-13,2008-06-27,99.96058505083452,99.67315384872356,2,14,-0.28754453764430654,-0.2875445376442909,No
23,2008-07-25,2008-08-15,99.54921431297628,99.47324365637265,3,21,-0.07631467222311086,-0.07631467222312116,No
24,2008-11-14,2008-11-21,93.87591332924968,92.9181704502153,1,7,-1.0202221688915092,-1.0202221688915047,No
25,2009-01-09,2009-01-23,90.2896610817659,90.41629041406068,2,14,0.14024787642087636,0.14024787642088477,Yes
26,2009-01-30,2009-02-27,90.76446161614616,90.92380383890688,4,28,0.1755557405657194,0.17555574056571377,Yes
27,2009-03-20,2009-04-03,90.84686573148194,91.25773462843092,2,14,0.4522653518541822,0.45226535185418637,Yes
28,2009-04-10,2009-06-19,91.67482867621833,98.2855516947928,10,70,7.211055765288149,7.211055765288155,Yes
